name,address,city,state,county,status,date
GATORHOMETOURS.COM,3041  S.W.  94TH  STREET,GAINESVILLE,FL,ALACHUA,E,2/2/05
GATORS BAR AND GRILLE,1222 WEST UNIVERSITY AVE,GAINESVILLE,FL,ALACHUA,E,2/2/05
GATOR NETWORKS,PO BOX 140148,GAINESVILLE,FL,ALACHUA,E,1/14/05
GATOR IMPORTS,1901 NW 67TH PLACE SUITE C,GAINESVILLE,FL,ALACHUA,E,12/15/04
GATOR AUTOMOTIVE ELECTRIC AND ACCESSORIES,PO BOX 5264,GAINESVILLE,FL,MULTIPLE,E,11/2/04
GATOR MAZDA,4025 NORTH MAIN STREET,GAINESVILLE,FL,ALACHUA,E,11/2/04
GATOR GENERATOR,1220 N.W. 53RD AVENUE,GAINESVILLE,FL,ALACHUA,E,10/29/04
GATORVILLE CHEM-DRY,4022 SW 21ST LANE,GAINESVILLE,FL,ALACHUA,E,10/28/04
GATOR APPLIANCE RECYCLING,4234 NE 17TH TERR.,GAINESVILLE,FL,ALACHUA,E,10/20/04
GATORSTRIPES,715 NW 9TH AVE,GAINESVILLE,FL,ALACHUA,E,8/30/04
"GATORWARE SOLUTIONS, INC.",8046 SW 62ND LN,GAINESVILLE,FL,ALACHUA,E,6/30/04
GATOR BAY TRADING CO.,710 SW 16TH AVENUE # 108,GAINESVILLE,FL,ALACHUA,E,6/8/04
GATORLAND SCION,3345 NORTH MAIN ST,GAINESVILLE,FL,ALACHUA,E,2/13/04
